Split,Class,Width,Height,Mode,Format,Path
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1088.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1089.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_109.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1090.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1091.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1092.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1093.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1094.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1095.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1096.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1097.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1098.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1099.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_11.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_110.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1100.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1101.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1102.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1103.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1104.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1105.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1106.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1107.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1108.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1109.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_111.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1110.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1111.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1112.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1113.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1114.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1115.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1116.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1117.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1118.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1119.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_112.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1120.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1121.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1122.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1123.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1124.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1125.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1126.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1127.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1128.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1129.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_113.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1130.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1131.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1132.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1133.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1134.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1135.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1136.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1137.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1138.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1139.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_114.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1140.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1141.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1142.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1143.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1144.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1145.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1146.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1147.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1148.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1149.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_115.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1150.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1151.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1152.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1153.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1154.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1155.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1156.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1157.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1158.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1159.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_116.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1160.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1161.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1162.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1163.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1164.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1165.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1166.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1167.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1168.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1169.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_117.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1170.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1171.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1172.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1173.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1174.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1175.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1176.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1177.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1178.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1179.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_118.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1180.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1181.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1182.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1183.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1184.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1185.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1186.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1187.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1188.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1189.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_119.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1190.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1191.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1192.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1193.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1194.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1195.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1196.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1197.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1198.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1199.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_12.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_120.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1200.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1201.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1202.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1203.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1204.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1205.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1206.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1207.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1208.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1209.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_121.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1210.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1211.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1212.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1213.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1214.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1215.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1216.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1217.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1218.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1219.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_122.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1220.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1221.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1222.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1223.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1224.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1225.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1226.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1227.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1228.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1229.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_123.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1230.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1231.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1232.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1233.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1234.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1235.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1236.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1237.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1238.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1239.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_124.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1240.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1241.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1242.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1243.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1244.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1245.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1246.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1247.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1248.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1249.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_125.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1250.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1251.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1252.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1253.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1254.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1255.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1256.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1257.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1258.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1259.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_126.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1260.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1261.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1262.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1263.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1264.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1265.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1266.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1267.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1268.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1269.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_127.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1270.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1271.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1272.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1273.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1274.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1275.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1276.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1277.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1278.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1279.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_128.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1280.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1281.jpg
